name_business;url;username;rating;date_review;text;location;friends;reviews;Char length;word length;Profile;Posted photoes
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Craig J.;1;6/27/2024;"Had Brussels sprouts and egg, naan, and some drinks at a place that calls itself ""all day brunch."" Surprisingly, they don't have an espresso machine. The naan turned out to be a thick, pre-made bread rather than actual naan bread. The ""tikka masala"" spice on the Brussels sprouts was more like a hot sauce and didn't resemble the original dish. It was served with a sunny-side-up egg and some pre-cut cabbage without any dressing. The food was below average, and it's surprising that we had to wait for a table.Disappointing.";Washington, DC;13;16;525;90;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Priestess D.;1;12/14/2023;Terrible service, terrible food. Bathrooms smell disgusting Also heard the owners engage in wage theft.;Manchester, NH;0;2;103;15;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Chistine S.;1;5/15/2023;Wow will never return here AGAIN. WE WERE assaulted by homeless man during our dinner and nobody came by after it happened. I'll never come back here. Horrible management, horrible service, and not a safe place to have outdoor dining. Stay safe;Arlington, VA;0;3;244;42;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Marcia F.;1;5/15/2023;Please Read Entire PostTHE WORST EXPERIENCE I HAVE EVER HAD IN MY LIFE. I just dined outside at Unconventional Diner with a friend. Mid meal a homeless person walked up from behind and me and took an entire piece of chicken off of my plate and spit it towards our direction. He proceeded to chew my food, then took my glass off my table and was acting crazy. No staff or manager was present during the entire ordeal, as several other patrons watched. The manager finally came out because my friend went inside to grab someone as they walked the man down the road. MANAGEMENT SHAME ON YOU. Nobody asked how I was doing after this occurred, and not a SINGLE manager came up to us after this episode. Instead our waiter told us the first order of food which was violated would be compliments of the house. They took nothing off the bill. This was a terrible situation, and horrible customer service. What if I was attacked? Afterwards I went up to management and told them how horrible of an experience this was. While the food was good, this was my worst experience ever at a place I was looking forward to going to. I feel bad for the other patrons and again am so disappointed by those working that night. You weren't even busy, and thoughtfulness goes a long way. GOOD RIDDANCE;Lyon Park, Arlington, VA;0;11;1278;234;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Jacqueline W.;2;4/13/2024;It's wasn't that good.  I was disappointed. Probably won't go back any time soon looked better than it tasted.;Hillcrest Heights, MD;0;4;113;19;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Monique S.;2;8/31/2023;This place offers, hands down, one of the best brunch experiences with shrimp & grits that are absolutely delectable. I've visited four times and the culinary delight remains a constant, every single time.So, why the 3-star rating? Sadly, it's the customer service that hinders this establishment from becoming a top favorite. Despite the culinary brilliance, every visit comes with a hint of reluctance due to previous encounters with the staff.During my first visit in 2021, the overall experience was delightful, until it was time to leave. I had ordered a bottle of champagne, which I couldn't finish, and a staff member-- not my waitress--corked it for me. However, before I could even set the bottle down, the cork exploded, hitting my head and causing the champagne to spill. This mishap could have had severe consequences had it hit my eye or mouth.Upon reporting this to the manager, the response was less than considerate. After spending around $120 and leaving a 25% tip, not even a replacement bottle was offered as compensation. Having experience as a bartender, I'm aware that the retail price of the champagne is significantly lower than what is charged, and a comped bottle would have been a decent gesture for the inconvenience. I tried to give the benefit of the doubt, attributing this to possibly inadequate training during COVID times.Despite this experience, I returned with a friend, hoping for a better experience. Unfortunately, we faced another corking issue, and it led to a heated exchange between my friend and another manager. It seems the issues are predominantly with the management.The food here is undeniably exquisite, but there's a pressing need for better staff training, especially when it comes to corking bottles, and a shift in attitude towards patrons. It's frustrating to face such issues when we, as customers, are well aware of rules and standards.;Washington, DC;67;96;1893;308;1;161
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Jennifer K.;2;6/27/2023;DISCLAIMER:My review is based on doordash experience. We received mediocre food and it was not good.;Washington, DC;0;4;100;16;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Barbara M.;2;4/15/2023;Only for people with dead taste bud that need to be sauced!;UPPR CHICHSTR, PA;0;4;59;12;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Emily H.;2;6/15/2018;"This is home ec(onomics) food with booze (shit, I realize I'm dating myself ha). How do you make a chicken gravy that legit tastes like winter soup?How do you pedal a piece of burnt dough with lifeless insides seemingly made of a baby sock as a biscuit? How do you make crab and linguini un-fun? And how does said meal cost almost a hundred bucks??From now on if I hear anyone say a place is a different ""take"" on normal food, I'm just going to skip it. I now know it's code for people who can't cook with a liquor license.A basket full of blah. Fried chicken was OK tho.";Washington, DC;53;130;571;110;1;1
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=0;Matthew D.;3;02/10/2025;Unconditional Diner in DC offers a nice, modern atmosphere with a welcoming vibe. The food options are solid, and service is quick, making it a great spot for a casual meal. While the service is decent, be aware that a 20% service charge is automatically added to the bill. Overall, a good dining experience with a sleek setting and efficient service.;Frederick, MD;199;16;351;61;1;21
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Jerry L.;3;7/25/2024;Food was solid. Service was ok, but a little slow. The ambiance was that of a diner. It was a little overpriced.;Springfield, VA;4;12;112;22;1;1
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Reina C.;3;7/17/2024;I tried the fried chicken sandwich, it was okay, nothing too special. The fries weren't my favorite, just average. The corned beef hash had too much meat for my liking. On the bright side, the blueberry lavender pancakes were really good - they were light, fluffy, and not overly sweet. Sadly, I didn't get to taste any of the mascarpone as my daughter ate it all! The Lebanese fried rice was definitely the highlight of our meal.;Northwest Washington, Washington, DC;64;27;430;77;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Leo F.;3;6/26/2024;I don't like their food so much. I think it was okay not much delicious because it was not cooked good.Their service was so good but they served me in a good manner.Overall their service was good.Their ambiance was not too much good. It was noisy .;San Francisco, CA;51;22;249;47;1;52
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Laura M.;3;3/17/2023;I ordered their fried chicken dinner several times during the pandemic when I wasn't dining out. It was some of the best that I've had. The chicken was still crispy when it arrived and well seasoned. The meat was tender. I also enjoyed the sides, I got mashed potatoes which were creamy and a rich, velvety Mac and cheese. I can't wait to dine in sometime.;Washington, DC;0;10;356;66;1;3
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Linda W.;3;1/14/2023;Food was great but the service is terrible. Barely ever saw our server and had to go ask for the check so we could leave.;Washington, DC;0;44;121;25;1;3
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Josue G.;3;07/07/2022;It was good but there were two bugs in my water but over all it was good food other then this event;TX, TX;0;1;99;22;0;2
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Lucy S.;3;1/15/2020;this place is pretty good, not wow but if you order the fried chicken you will leave happy and satisfied.;Washington, DC;0;5;105;20;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Jeff F.;3;7/22/2019;Food was ok. I think the atmosphere could have been better. I would recommend.;Owings Mills, MD;0;9;80;14;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Olivia B.;3;07/07/2019;I'd heard rave reviews but was unimpressed in person. I enjoyed my cocktail- the sunshine of your love- and did like reading the creative cocktail list and menu but everything else was a solid 'fine.'It was a hot day so I decided I didn't want anything too heavy and went with the dirty Cesar salad. The roasted tomatoes it claimed to come with was just a scoop of bad salsa. The dish was colorful with a nicely cooked soft boiled egg and black crouton dust atop the greens but the overall taste was not good and I had to force myself through it.We also tried the pot pie poppers which they were known for were- and honestly I don't understand why. Bland and unimpressive.The waitress encouraged us to try dessert because their pastry chef had just won pastry chef of the year but none of the items appealed to us. The space was modern and clean. The bench I sat in was too low for the table though which made things slightly uncomfortable- a silly detail but one that should have been addressed given the level of sophistication they are trying to present with.;Dacula, GA;0;8;1062;194;1;57
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=10;Kris H.;3;06/06/2019;Cute place but I guess the bar side isn't open during the weekday mornings. Didn't stay to eat looked more like a bakery style place where you serve yourself.;North Scottsdale, Scottsdale, AZ;0;51;158;29;0;9
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;S T.;3;06/03/2019;Just an average place. Food was good be sure to ask questions. They do add different ingredients to the basic breakfast. Service was good. Place was clean and had a good vibe.;Anchorage, AK;0;45;175;32;0;2
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Ben M.;3;05/11/2019;Pretty good food.;San Francisco, CA;7;173;17;3;0;1
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Abbie C.;4;1/19/2025;Went for brunch - drinks were good and the service was great. It was a little bit loud/crowded. I got the brussel sprouts and eggs and honestly it wasn't anything super special. I really loved the pancakes though!;Queens, Queens, NY;0;8;213;38;1;10
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;John A.;4;4/13/2024;I recently dined at Unconventional Diner and was thoroughly impressed. From the moment I stepped in, it was evident why they seemed to have a Michelin Star. The food was nothing short of phenomenal, each dish bursting with flavor and creativity. The service matched the excellence of the cuisine, with attentive staff ensuring a seamless dining experience. However, I must admit that the decor and ambiance left a bit to be desired. Despite this minor flaw, Unconventional Diner exceeded my expectations and is definitely worth a visit for the culinary delights alone.;Burke, VA;2;103;568;92;1;81
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Ronald O.;4;03/12/2024;Overall great experience! I give 5 stars for something going above and beyond. More than expected. In this case the staff were super friendly and welcoming etc.Great food for me is 4 star though and only becomes 5 when again there is something unusual or unique and extraordinary about it. My baked Brie was close to that. The Peking duck though very nice was only what I expected, maybe a bit too salty when you don't eat the buns to offset that.;Downtown, Washington, DC;31;5;447;82;1;5
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Chris P.;4;02/02/2024;Nestled in the heart of culinary excellence, this Michelin-starred brunch restaurant seamlessly marries innovation with tradition. From the meticulously crafted dishes to the elegant ambiance, every aspect exudes sophistication. The diverse menu, showcasing seasonal ingredients, ensures a delightful journey for your taste buds. Attentive service and a carefully curated atmosphere elevate the overall dining experience, making it a truly exceptional brunch destination.;Miami, FL;742;84;471;62;1;70
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Angel M.;4;9/25/2023;Great place to go for dinner with friends or family. The food is delicious and the service is excellent;FL, FL;0;2;103;19;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Katie V.;4;08/03/2023;Came for brunch on a Saturday around noon and it was super busy! We got reservations and it was definitely the move! Many people got turned away while we were waiting for our table since they are so packed. The interior is so pretty!! It's split up into 3 different sections: front area/open kitchen, bar with seating and second dining area (pink room). Plenty of seating which was nice and the ambiance was lively but not too loud. The food was better than I expected! I got the poutine and it was super flavorful and nicely savory, not overly salty. There was a good amount of meat to fries ratio and plentiful gravy on top. The egg was cooked just right and the yolk mixed in was super good. The Georgia French toast was decent! It wasn't anything special but a good choice if you like peach cobbler! The chicken and waffles was so good! The chicken was nice and crispy and the waffle had so much savoriness to it. The butter and sauces wasn't overly spicy either (even tho it said habanero). The pancakes are so picturesque. I'm not a huge fan of pancakes but my friend really liked them! They give you a lot for one order. Fries were standard and crispy and the sexy sauce was like a ketchup Mayo burger sauce. Standard but in a good way! Ratings: French dip poutine: 8/10Georgia French Toast: 8/10Pancake: 9/10 Chicken and waffles: 8/10 Fries: 9/10 Drinks: 10/10 (strong) Overall, I'd totally come back. BE AWARE they do an automatic 20% gratuity. This was a bit annoying bc our waiter def was lacking... all the staff seemed kind of whatever since the tip was already included. If I went back I'd totally just go to the bar! The bartender was super nice and much better than our waiter. Highly recommend the bar if you can't find a table/aren't picky!;Cincinnati, OH;179;58;1758;319;0;174
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Sherina S.;4;7/24/2023;Food was good. Service was good enough. Ambience was nice. Overall good place. Would go back.;Downtown, Washington, DC;77;4;93;16;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=20;Nick D.;4;4/19/2023;Good experience with good food. More for those look for a more fuller meal fare. Definitely worth a try if you want breakfast related eats;Northwest Washington, Washington, DC;0;6;138;25;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Chris S.;4;4/15/2023;Tasty. Go here to fluff your gram.;Washington, DC;0;29;34;7;1;10
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Todd M.;4;3/27/2023;Good, not fantastic. Lively environment.;Northwest Washington, Washington, DC;0;35;41;5;0;9
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Kobie N.;4;3/21/2023;Good food.Packed on the weekend. Bar is full of good bottles. Bartenders are decent.;FL, FL;1;5;84;14;1;2
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Chris E.;4;3/15/2023;Food was cool, do not think I would go again but would definitely recommend for someone hitting the city for the first time. Keith Lee Review: Customer Service: 8.6/10 (Bartender was the homie rest of the staff was mid)Food: 8.4/10 Overall: 8.5/10;Enumclaw, WA;0;11;247;42;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Naomi H.;4;1/30/2023;I enjoyed their delivery options during the pandemic such as the fried chicken dinner family size. The chicken was perfectly crispy and seasoned with delicious mashed potatoes and other sides. It was nice to get a restaurant-quality meal delivered. Looking forward to dining there in person when it's safe again.;Washington, DC;0;17;312;50;1;1
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Patricia J.;4;8/25/2022;Unexpected surprise. Very high quality food and prep. Didn't realize this great place at convention Center . will be back!;Washington, DC;0;6;122;20;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Herman M.;4;08/02/2021;The food was delicious, and the menu is very diverse. I strongly recommend this place;Elk Grove Village, IL;21;10;85;15;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Linda W.;4;7/18/2021;Interesting menu - everything is always better than it sounds.;Washington, DC;3;31;62;10;1;2
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Jorge A.;4;1/28/2020;Interesting concept over by convention center. Great food, a little pricey but overall very unique experience.;Northwest Washington, Washington, DC;0;3;110;16;1;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=30;Luke B.;4;1/19/2020;Came here with some friends, and really enjoyed the experience. Food was good.;Washington, DC;266;22;78;13;0;0
Unconventional Diner;https://www.yelp.com/not_recommended_reviews/unconventional-diner-washington-3?not_recommended_start=40;Gil W.;4;6/22/2019;"Good stuff, ""alternative"" food choices!";Washington, DC;47;47;39;5;1;5
