"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1371947205151.18,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1445950587026.22,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1550597670600.03,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1669569735937.23,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1830168405451.36,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1994297576262.09,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2161754227675.2302,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2293943739361.93,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2478900302001.24,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2738143638273.34,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3003116289069.99,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3318577763684.84,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",3833100090143,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",4687590908817.55,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",5418369997022.54,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6033156160029.93,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6558692084468.9,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7414824793154.84,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",8778339992333.91,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",10153805685261.7,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",11449695442678,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",11839946290807,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",11716617789328.5,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",11960039294489.3,"Nominal GDP"
"Earth","","World","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",12424879538978.7,"Nominal GDP"
